Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Coby Mayo","BAL",179,536,595,107,62,21,0,24,66,63,50,0,190,8,1,0,6,5,0,0.199626865,"Coby Mayo",28312,691723
"Christian Encarnacion-Strand","- - -",66,251,265,50,32,10,0,8,26,35,7,0,68,3,4,0,5,0,2,0.199203187,"Christian Encarnacion-Strand",30011,687952
"Daz Cameron","- - -",87,211,228,42,29,6,1,6,29,18,14,0,64,1,2,0,4,6,0,0.199052132,"Daz Cameron",18353,663662
"Luis Guillorme","- - -",91,181,208,36,26,9,1,0,16,10,24,0,44,0,2,1,9,4,2,0.198895027,"Luis Guillorme",16451,641645
"John Rave","KCR",81,171,196,34,21,7,1,5,21,15,21,0,53,1,1,2,1,7,2,0.198830409,"John Rave",26284,670231
"Leo Rivas","SEA",129,262,317,52,43,5,2,2,38,24,45,0,84,5,1,4,3,11,0,0.198473282,"Leo Rivas",21009,660844
"Bryan Ramos","CHW",36,111,120,22,13,6,0,3,14,13,7,0,26,0,1,0,3,0,2,0.198198198,"Bryan Ramos",25621,682868
"Bryce Teodosio","LAA",89,197,213,39,27,9,2,1,18,9,8,0,70,4,2,2,3,11,2,0.197969543,"Bryce Teodosio",29524,669326
"Riley Adams","WSN",124,379,416,75,51,13,1,10,39,32,28,1,145,7,2,0,10,2,0,0.197889182,"Riley Adams",19864,656180
"Christian Moore","LAA",59,182,206,36,23,5,1,7,20,17,20,0,73,1,2,1,3,3,1,0.197802197,"Christian Moore",34979,695681
"Davis Schneider","TOR",266,683,799,135,78,29,1,27,97,89,101,0,243,7,7,1,7,10,1,0.197657393,"Davis Schneider",23565,676914
"Oliver Dunn","- - -",64,142,157,28,21,4,2,1,19,14,9,0,54,2,1,3,1,4,0,0.197183098,"Oliver Dunn",26295,686554
"Graham Pauley","- - -",112,284,313,56,31,17,1,7,31,27,26,0,74,0,1,2,5,3,1,0.197183098,"Graham Pauley",31363,688363
"Dylan Moore","- - -",256,599,699,118,65,28,4,21,91,67,76,1,211,15,8,1,9,47,11,0.196994991,"Dylan Moore",18042,664238
"Danny Mendick","CHW",47,132,141,26,16,7,0,3,13,8,6,0,35,2,0,1,3,6,0,0.196969696,"Danny Mendick",18889,664901
"Kevin Kiermaier","- - -",116,259,281,51,34,9,3,5,31,26,12,0,86,2,1,7,4,6,2,0.196911196,"Kevin Kiermaier",11038,595281
"Michael A. Taylor","- - -",247,564,625,111,66,29,2,14,68,56,46,1,215,1,6,8,10,20,4,0.19680851,"Michael A. Taylor",11489,572191
"Austin Hedges","CLE",186,417,473,82,59,13,0,10,42,39,35,0,118,5,5,11,7,4,3,0.196642685,"Austin Hedges",12976,595978
"Chris Taylor","- - -",145,326,371,64,43,14,1,6,43,35,33,0,118,8,3,1,6,7,3,0.196319018,"Chris Taylor",13757,621035
"Ryan Kreidler","- - -",107,235,260,46,34,4,2,6,35,26,22,0,68,1,0,2,8,7,6,0.19574468,"Ryan Kreidler",25867,668952
"Ryan Fitzgerald","MIN",24,46,53,9,5,0,0,4,10,9,7,0,8,0,0,0,0,1,0,0.195652173,"Ryan Fitzgerald",24622,680837
"J.C. Escarra","NYY",72,169,190,33,20,10,1,2,13,18,17,0,32,1,3,0,2,1,0,0.195266272,"J.C. Escarra",20084,641555
"Matt Gorski","PIT",15,41,42,8,5,0,1,2,2,4,1,0,16,0,0,0,1,0,1,0.195121951,"Matt Gorski",25855,685301
"Nick Senzel","- - -",74,236,267,46,28,11,0,7,25,18,28,1,61,1,0,1,6,1,3,0.194915254,"Nick Senzel",19293,669222
"Colt Emerson","SEA",48,154,171,30,17,5,1,7,17,20,13,0,58,2,1,1,2,3,1,0.194805194,"Colt Emerson",33575,806068
"Luke Maile","- - -",83,190,219,37,27,6,0,4,16,17,21,0,71,4,1,3,5,3,0,0.194736842,"Luke Maile",13355,571912
"Curt Casali","SFG",41,108,125,21,17,3,0,1,12,8,13,0,22,2,0,2,3,0,0,0.194444444,"Curt Casali",12510,592200
"Alan Roden","- - -",63,155,174,30,21,6,1,2,17,12,10,0,41,6,3,0,0,1,1,0.193548387,"Alan Roden",31564,702176
"Sean Murphy","ATL",170,538,615,104,59,18,1,26,54,70,62,2,178,11,4,0,17,0,0,0.19330855,"Sean Murphy",19352,669221
"Will Wilson","- - -",36,83,97,16,11,4,0,1,8,4,8,0,35,1,0,5,1,2,0,0.192771084,"Will Wilson",25434,669717
"Jhonkensy Noel","CLE",136,327,351,63,34,9,1,19,44,41,17,0,115,5,2,0,5,0,0,0.19266055,"Jhonkensy Noel",24257,678877
"Ehire Adrianza","LAA",8,26,28,5,3,1,0,1,4,2,2,0,11,0,0,0,1,0,0,0.192307692,"Ehire Adrianza",8418,501303
"Brett Harris","- - -",74,182,216,35,24,8,0,3,26,17,25,0,48,6,2,1,5,1,3,0.192307692,"Brett Harris",29788,695391
"Brice Matthews","HOU",95,250,273,48,31,5,1,11,29,31,17,0,91,1,1,4,3,5,4,0.192,"Brice Matthews",33280,694728
"Bo Naylor","CLE",274,797,893,153,87,34,3,29,89,93,80,1,242,3,8,5,9,7,5,0.191969887,"Bo Naylor",21865,666310
"Andrew Knizner","- - -",70,167,181,32,27,2,1,2,17,14,8,0,32,3,2,1,2,0,0,0.191616766,"Andrew Knizner",19514,668800
"Jose Siri","- - -",193,523,584,100,55,21,1,23,75,66,41,0,215,9,5,4,8,17,8,0.191204588,"Jose Siri",17452,642350
"Bryan Torres","STL",33,68,74,13,7,0,2,4,9,8,5,0,16,0,0,1,0,1,0,0.19117647,"Bryan Torres",21464,663494
"MJ Melendez","- - -",214,592,660,113,57,30,4,22,63,56,55,1,186,10,1,1,3,4,5,0.190878378,"MJ Melendez",22197,669004
"Rafael Marchán","PHI",90,241,263,46,31,8,0,7,22,25,15,0,39,4,1,2,4,0,0,0.190871369,"Rafael Marchan",21646,665561
"Cavan Biggio","- - -",115,257,307,49,36,7,0,6,36,23,35,0,93,9,0,4,1,3,0,0.190661478,"Cavan Biggio",19252,624415
"Charles Leblanc","LAA",11,21,28,4,2,0,0,2,6,6,7,0,9,0,0,0,0,0,0,0.19047619,"Charles Leblanc",19813,641779
"Jhostynxon Garcia","- - -",18,42,46,8,6,2,0,0,2,2,3,0,15,1,0,0,1,0,0,0.19047619,"Jhostynxon Garcia",28142,691373
"Jake Rogers","DET",185,520,582,99,56,23,4,16,68,64,49,1,168,5,6,2,9,2,0,0.190384615,"Jake Rogers",19452,668670
"Ali Sánchez","- - -",63,142,157,27,21,6,0,0,9,8,5,0,40,2,2,6,4,2,1,0.190140845,"Ali Sanchez",18551,645305
"Alex Jackson","- - -",117,285,312,54,27,18,0,9,40,24,17,0,106,8,1,1,4,1,0,0.189473684,"Alex Jackson",17276,656577
"Jace Jung","DET",58,132,157,25,20,5,0,0,23,6,24,0,46,1,0,0,5,0,1,0.189393939,"Jace Jung",31437,690291
"Yuli Gurriel","- - -",34,90,105,17,13,4,0,0,9,9,13,0,23,0,2,0,1,1,0,0.188888888,"Yuli Gurriel",19198,493329
"Pablo Reyes","- - -",47,91,98,17,14,3,0,0,9,7,5,0,29,1,0,1,1,2,2,0.186813186,"Pablo Reyes",16357,622569
"Everson Pereira","- - -",44,134,150,25,15,5,0,5,14,15,12,0,51,2,2,0,4,3,0,0.186567164,"Everson Pereira",23695,677592
"Mitch Garver","SEA",246,735,855,137,83,25,1,28,83,95,103,1,256,11,6,0,17,3,0,0.186394557,"Mitch Garver",15161,641598
"Mickey Gasper","- - -",92,220,252,41,32,6,1,2,27,18,23,0,49,5,2,2,4,2,1,0.186363636,"Mickey Gasper",24759,681508
"Willie MacIver","ATH",33,102,111,19,11,5,0,3,7,9,7,0,27,2,0,0,1,3,0,0.186274509,"Willie MacIver",24641,680862
"Daniel Vogelbach","TOR",31,70,79,13,7,5,0,1,5,8,9,0,17,0,0,0,4,0,0,0.185714285,"Daniel Vogelbach",14130,596129
"Austin Nola","COL",15,38,41,7,6,1,0,0,2,1,2,0,5,0,0,1,2,0,0,0.184210526,"Austin Nola",15941,543592
"Mason McCoy","SDP",37,71,83,13,10,3,0,0,12,4,8,0,26,1,0,3,2,3,0,0.183098591,"Mason McCoy",22232,669200
"Sam Huff","- - -",33,82,89,15,10,3,0,2,6,5,6,0,41,0,1,0,2,0,0,0.182926829,"Sam Huff",22209,669087
"Logan Porter","- - -",8,11,15,2,1,1,0,0,4,1,3,0,4,1,0,0,0,0,0,0.181818181,"Logan Porter",20626,682515
"Adam Duvall","ATL",104,303,330,55,34,10,0,11,29,30,21,0,99,5,1,0,6,0,0,0.181518151,"Adam Duvall",10950,594807
"Grant McCray","SFG",63,149,160,27,16,3,3,5,18,12,8,0,69,0,1,2,4,7,0,0.181208053,"Grant McCray",25690,687529
"Tucker Barnhart","- - -",39,94,111,17,14,3,0,0,13,6,14,0,35,1,0,2,2,1,0,0.180851063,"Tucker Barnhart",10200,571466
"Cole Tucker","LAA",25,50,57,9,4,4,1,0,3,3,6,0,17,0,1,0,0,3,1,0.18,"Cole Tucker",17326,657061
"Jason Vosler","SEA",10,28,30,5,3,1,1,0,2,3,2,0,9,0,0,0,0,0,0,0.178571428,"Jason Vosler",16686,613564
"Sean Bouchard","COL",63,157,181,28,18,7,1,2,21,15,19,0,60,2,2,1,2,5,1,0.178343949,"Sean Bouchard",21270,656248
"Keston Hiura","- - -",18,45,48,8,7,1,0,0,4,2,0,0,17,3,0,0,0,0,1,0.177777777,"Keston Hiura",20003,669374
"DJ Stewart","NYM",74,158,194,28,19,4,0,5,16,19,31,0,48,4,1,0,5,1,0,0.177215189,"DJ Stewart",17766,621466
"Daniel Johnson","- - -",40,68,75,12,8,3,0,1,15,1,6,0,16,1,0,0,1,2,1,0.176470588,"Daniel Johnson",19643,669288
"Juan Brito","CLE",15,51,56,9,5,4,0,0,7,3,4,0,17,1,0,0,1,0,0,0.176470588,"Juan Brito",26693,682877
"Sean Keys","TOR",11,34,35,6,4,1,0,1,5,5,1,0,13,0,0,0,0,0,0,0.176470588,"Sean Keys",35094,815873
"Adael Amador","COL",51,148,164,26,17,8,0,1,6,10,12,0,33,1,0,3,3,2,1,0.175675675,"Adael Amador",27962,691182
"Eddie Rosario","- - -",96,305,327,53,31,12,0,10,34,35,16,0,79,0,4,2,4,9,1,0.173770491,"Eddie Rosario",12155,592696
"Estevan Florial","CLE",36,98,111,17,6,6,2,3,11,11,11,0,41,1,0,1,2,2,1,0.173469387,"Estevan Florial",19151,664314
"Hayden Senger","NYM",40,87,95,15,13,1,0,1,10,6,3,0,26,1,1,3,3,0,0,0.172413793,"Hayden Senger",21489,663584
"Luis De Los Santos","TOR",13,29,31,5,3,2,0,0,2,1,2,0,10,0,0,0,2,0,0,0.172413793,"Luis De Los Santos",21682,665782
"Carson McCusker","MIN",16,29,30,5,5,0,0,0,0,1,1,0,16,0,0,0,0,0,1,0.172413793,"Carson McCusker",33098,676812
"Tyler Locklear","- - -",48,151,169,26,20,1,0,5,15,10,14,0,63,4,0,0,7,4,1,0.17218543,"Tyler Locklear",31396,682988
"Logan Driscoll","TBR",15,35,37,6,5,0,0,1,2,5,1,0,6,0,1,0,0,0,0,0.171428571,"Logan Driscoll",25475,686482
"Owen Miller","- - -",23,41,44,7,6,1,0,0,2,4,2,0,12,1,0,0,1,1,0,0.170731707,"Owen Miller",24655,680911
"Kyren Paris","LAA",65,177,199,30,16,6,1,7,24,16,17,0,76,3,0,0,2,8,1,0.169491525,"Kyren Paris",26420,677347
"Rece Hinds","- - -",52,124,133,21,5,8,1,7,17,19,6,0,56,2,1,0,1,2,0,0.169354838,"Rece Hinds",27493,677956
"Brandon Drury","LAA",97,325,360,55,44,7,0,4,28,15,27,0,81,5,3,0,13,1,0,0.169230769,"Brandon Drury",11615,592273
"Brandon Crawford","STL",29,71,80,12,6,5,0,1,5,4,8,0,26,1,0,0,0,0,0,0.169014084,"Brandon Crawford",5343,543063
"Luke Williams","ATL",84,77,87,13,8,5,0,0,13,9,6,0,22,2,1,1,3,8,0,0.168831168,"Luke Williams",19931,663897
"Jack Suwinski","PIT",147,397,455,67,40,15,0,12,44,36,51,3,136,5,1,1,4,16,2,0.168765743,"Jack Suwinski",22244,669261
"Jorge Barrosa","ARI",109,202,225,34,15,15,1,3,31,18,12,0,61,2,3,6,2,1,0,0.168316831,"Jorge Barrosa",23968,678489
"Niko Kavadas","LAA",40,113,129,19,13,2,0,4,11,8,14,0,51,2,0,0,0,1,0,0.168141592,"Niko Kavadas",29782,694359
"Omar Narváez","- - -",32,72,79,12,10,2,0,0,5,8,5,0,13,0,1,1,2,0,0,0.166666666,"Omar Narvaez",13338,553882
"Andrew Knapp","SFG",3,6,6,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.166666666,"Andrew Knapp",14942,595284
"Logan Davidson","- - -",19,42,47,7,4,2,0,1,3,4,3,0,22,0,0,2,1,0,0,0.166666666,"Logan Davidson",25844,669722
"Gage Workman","- - -",28,54,55,9,3,4,0,2,3,7,1,0,23,0,0,0,0,1,0,0.166666666,"Gage Workman",27573,669398
"Jacob Hurtubise","CIN",41,66,83,11,9,1,1,0,10,4,7,0,24,5,1,4,0,2,0,0.166666666,"Jacob Hurtubise",27599,674441
"Shay Whitcomb","HOU",57,96,102,16,10,3,0,3,7,11,6,0,29,0,0,0,1,0,0,0.166666666,"Shay Whitcomb",27789,694376
"Collin Price","HOU",7,12,13,2,1,1,0,0,1,0,1,0,6,0,0,0,0,0,0,0.166666666,"Collin Price",31415,805672
"Gabriel Rincones Jr.","PHI",23,72,76,12,7,3,0,2,6,6,2,0,22,1,1,0,2,0,0,0.166666666,"Gabriel Rincones Jr.",31958,687282
"LuJames Groover","ARI",15,48,54,8,5,2,0,1,4,4,5,0,11,1,0,0,3,0,0,0.166666666,"LuJames Groover",33552,694410
"Tommy White","ATH",2,6,7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.166666666,"Tommy White",35107,695720
"Johnathan Rodríguez","- - -",49,109,128,18,10,5,1,2,12,16,18,0,40,0,1,0,4,1,0,0.165137614,"Johnathan Rodriguez",22530,671286
"Matt Mervis","- - -",51,146,162,24,12,5,0,7,16,17,12,1,58,2,1,0,1,0,0,0.164383561,"Matt Mervis",27845,670223
"Brian Serven","- - -",30,67,75,11,7,4,0,0,6,3,5,0,23,2,0,1,0,0,0,0.164179104,"Brian Serven",19422,661531
"Jimmy Crooks","STL",42,110,121,18,11,2,1,4,7,10,7,0,41,4,0,0,2,0,0,0.163636363,"Jimmy Crooks",31354,699625
"Steward Berroa","- - -",36,49,58,8,7,1,0,0,7,2,9,0,20,0,0,0,0,7,2,0.163265306,"Steward Berroa",22766,672642
"Martín Maldonado","- - -",112,282,308,46,29,9,0,8,20,23,16,0,108,1,0,9,8,0,0,0.163120567,"Martin Maldonado",6887,455117
"Joey Gallo","WSN",76,223,260,36,17,9,0,10,24,27,32,0,102,4,1,0,1,3,1,0.161434977,"Joey Gallo",14128,608336
"Scott Kingery","- - -",27,31,33,5,4,1,0,0,5,0,2,0,11,0,0,0,1,2,1,0.161290322,"Scott Kingery",17975,664068
"Henry Davis","PIT",188,527,601,85,53,16,0,16,58,54,49,0,163,11,6,5,7,4,2,0.161290322,"Henry Davis",29617,680779
"Patrick Wisdom","- - -",90,199,218,32,13,8,2,9,19,27,13,1,77,4,1,1,1,5,0,0.16080402,"Patrick Wisdom",13602,621550
"CJ Alexander","- - -",10,25,25,4,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0.16,"CJ Alexander",20557,680769
"Charles McAdoo","TOR",8,25,25,4,3,0,0,1,2,3,0,0,6,0,0,0,1,0,0,0.16,"Charles McAdoo",33323,807727
"Ji Hwan Bae","PIT",42,94,106,15,13,2,0,0,15,6,11,0,33,0,1,0,0,10,3,0.159574468,"Ji Hwan Bae",23818,678225
"Zack Short","- - -",93,170,206,27,18,7,0,2,24,14,26,0,61,3,2,5,0,2,2,0.158823529,"Zack Short",19562,670097
"Felix Reyes","PHI",12,38,38,6,4,1,0,1,2,2,0,0,9,0,0,0,1,0,0,0.157894736,"Felix Reyes",28763,694025
"Jacob Melton","HOU",32,70,78,11,10,0,1,0,7,7,6,0,29,1,0,0,2,7,2,0.157142857,"Jacob Melton",31661,689200
"Cooper Hummel","- - -",43,96,113,15,12,0,0,3,10,7,14,0,33,2,0,1,2,2,0,0.15625,"Cooper Hummel",19458,669450
"Alan Trejo","COL",42,103,110,16,14,2,0,0,7,2,3,0,22,1,1,2,5,0,0,0.155339805,"Alan Trejo",20056,676701
"Carson Williams","TBR",44,129,139,20,11,4,0,5,17,15,8,0,55,0,0,2,4,2,1,0.155038759,"Carson Williams",30038,700246
"Yan Gomes","CHC",34,91,96,14,10,2,0,2,7,7,2,0,36,1,1,1,2,0,0,0.153846153,"Yan Gomes",9627,543228
"Seby Zavala","SEA",18,39,43,6,3,2,0,1,4,2,3,0,16,0,0,1,2,0,0,0.153846153,"Seby Zavala",18887,664874
"Nick Maton","- - -",30,59,68,9,5,2,0,2,5,4,9,0,21,0,0,0,0,0,1,0.152542372,"Nick Maton",21635,665155
"Junior Perez","CHW",19,33,34,5,3,0,0,2,3,4,1,0,14,0,0,0,0,0,1,0.151515151,"Junior Perez",23989,678577
"Jamie Westbrook","BOS",21,40,48,6,2,2,0,2,4,7,4,0,14,1,2,0,0,0,0,0.15,"Jamie Westbrook",15504,642197
"Mike Ford","CIN",17,60,62,9,7,0,1,1,2,4,2,0,15,0,0,0,1,0,0,0.15,"Mike Ford",15585,645801
"Jase Bowen","SDP",30,47,50,7,5,2,0,0,7,3,2,0,18,1,0,0,0,4,0,0.14893617,"Jase Bowen",26047,687749
"Bobby Dalbec","- - -",44,101,114,15,11,3,0,1,8,9,11,0,49,1,0,1,2,3,0,0.148514851,"Bobby Dalbec",19966,666915
"James Outman","- - -",188,402,447,59,30,13,3,13,50,35,38,0,177,7,0,0,0,9,3,0.146766169,"James Outman",24770,681546
"Rodolfo Durán","SDP",36,82,91,12,5,4,0,3,8,8,7,0,24,1,0,1,3,0,0,0.146341463,"Rodolfo Duran",20958,660710
"Luis Vázquez","- - -",47,62,67,9,7,1,0,1,8,4,3,0,20,1,1,0,1,2,0,0.14516129,"Luis Vazquez",23442,676679
"Jakson Reetz","SFG",6,14,15,2,0,1,0,1,1,1,1,0,5,0,0,0,1,0,0,0.142857142,"Jakson Reetz",17837,656883
"Jared Oliva","SFG",7,7,7,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0.142857142,"Jared Oliva",19968,666931
"Drew Romo","- - -",55,162,179,23,11,7,0,5,13,17,14,0,53,1,1,1,6,1,1,0.141975308,"Drew Romo",27763,691011
"Jacob Amaya","- - -",61,134,145,19,17,2,0,0,11,11,7,0,44,0,3,1,4,3,0,0.141791044,"Jacob Amaya",23296,676070
"Aaron Hicks","LAA",18,57,63,8,7,0,0,1,6,5,6,0,23,0,0,0,1,0,0,0.140350877,"Aaron Hicks",5297,543305
"Cam Devanney","PIT",14,36,38,5,4,1,0,0,1,1,2,0,21,0,0,0,1,0,1,0.138888888,"Cam Devanney",25688,687478
"José Barrero","STL",22,29,31,4,2,1,0,1,4,3,1,0,9,1,0,0,0,0,0,0.137931034,"Jose Barrero",23378,676480
"Trenton Brooks","- - -",37,66,72,9,6,2,0,1,8,3,6,0,19,0,0,0,3,1,0,0.136363636,"Trenton Brooks",19384,670092
"Tim Elko","CHW",23,67,72,9,4,1,0,4,6,8,5,0,30,0,0,0,1,1,0,0.134328358,"Tim Elko",31522,671284
"Akil Baddoo","DET",38,90,100,12,5,3,2,2,7,6,9,0,32,0,1,0,0,2,0,0.133333333,"Akil Baddoo",22168,668731
"Travis Blankenhorn","WSN",13,31,32,4,3,1,0,0,2,5,1,0,9,0,0,0,0,0,0,0.129032258,"Travis Blankenhorn",18395,663905
"Will Robertson","- - -",27,70,75,9,8,1,0,0,2,9,2,0,27,2,1,0,1,0,0,0.128571428,"Will Robertson",25467,683770
"Ryan Noda","- - -",59,142,170,18,12,4,0,2,11,6,25,2,62,1,0,2,0,1,0,0.126760563,"Ryan Noda",23312,676116
"Jair Camargo","- - -",6,8,9,1,0,1,0,0,2,0,1,0,4,0,0,0,0,0,0,0.125,"Jair Camargo",21730,665856
"Rhylan Thomas","SEA",3,8,10,1,0,1,0,0,2,2,1,0,0,0,1,0,0,0,0,0.125,"Rhylan Thomas",31793,689041
"José Abreu","HOU",35,113,120,14,10,2,0,2,10,7,4,0,28,2,1,0,4,0,0,0.123893805,"Jose Abreu",15676,547989
"Vinny Capra","- - -",50,105,114,13,9,3,0,1,11,6,3,0,28,1,2,3,6,2,0,0.123809523,"Vinny Capra",25040,681962
"Tom Murphy","SFG",13,34,38,4,2,1,0,1,3,2,4,0,14,0,0,0,0,0,0,0.117647058,"Tom Murphy",13499,608596
"Drew Avans","- - -",8,17,18,2,2,0,0,0,1,1,0,0,6,0,1,0,0,1,0,0.117647058,"Drew Avans",25183,682183
"Davis Wendzel","- - -",29,51,53,6,3,2,0,1,2,2,1,0,12,1,0,0,1,0,0,0.117647058,"Davis Wendzel",26469,673995
"Zac Veen","COL",12,34,37,4,2,1,0,1,1,2,2,0,14,1,0,0,0,1,1,0.117647058,"Zac Veen",27770,691728
"Chuckie Robinson","- - -",35,94,104,11,11,0,0,0,4,1,5,0,25,1,0,4,1,0,0,0.117021276,"Chuckie Robinson",19824,642020
"DaShawn Keirsey Jr.","MIN",80,97,102,11,8,0,0,3,12,7,2,0,34,2,0,1,1,10,3,0.113402061,"DaShawn Keirsey Jr.",24496,680577
"Edwin Rios","CIN",5,9,10,1,1,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0.111111111,"Edwin Rios",18316,621458
"Nick Solak","- - -",8,18,21,2,2,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0.111111111,"Nick Solak",19294,669256
"Connor Kaiser","ARI",11,18,19,2,1,1,0,0,1,2,1,0,5,0,0,0,1,0,0,0.111111111,"Connor Kaiser",21535,663731
"Bubba Thompson","CIN",17,18,18,2,1,1,0,0,5,0,0,0,11,0,0,0,1,5,0,0.111111111,"Bubba Thompson",22261,669352
"Buddy Kennedy","- - -",37,64,74,7,3,3,0,1,7,7,8,0,20,1,1,0,0,1,0,0.109375,"Buddy Kennedy",22505,671083
"Niko Goodrum","- - -",13,29,33,3,3,0,0,0,2,0,3,0,10,0,0,1,0,1,1,0.103448275,"Niko Goodrum",12092,592348
"Aramis Garcia","- - -",13,30,30,3,2,0,0,1,2,2,0,0,12,0,0,0,1,0,0,0.1,"Aramis Garcia",16925,605244
"Will Banfield","CIN",7,10,10,1,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0.1,"Will Banfield",23790,677943
"Levi Jordan","CIN",7,10,11,1,0,1,0,0,1,1,0,0,3,0,1,0,0,0,0,0.1,"Levi Jordan",25138,682119
"Greg Jones","- - -",21,30,32,3,2,0,0,1,1,2,1,0,16,0,0,1,0,2,1,0.1,"Greg Jones",25448,675659
"Pedro León","HOU",7,20,21,2,2,0,0,0,2,0,1,0,10,0,0,0,2,2,0,0.1,"Pedro Leon",27781,694175
"Cooper Ingle","CLE",7,21,24,2,2,0,0,0,1,2,3,0,12,0,0,0,0,0,0,0.095238095,"Cooper Ingle",33708,694876
"Aledmys Díaz","- - -",14,33,34,3,3,0,0,0,2,1,1,0,9,0,0,0,0,0,0,0.09090909,"Aledmys Diaz",15937,649557
"Vimael Machín","BAL",4,11,12,1,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0.09090909,"Vimael Machin",17684,605353
"Eliezer Alfonzo","LAD",6,11,11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.09090909,"Eliezer Alfonzo",22741,672613
"Tristin English","ARI",7,22,23,2,1,1,0,0,0,1,1,0,8,0,0,0,0,0,0,0.09090909,"Tristin English",26148,663536
"Sandy León","ATL",26,56,56,5,4,0,0,1,1,3,0,0,22,0,0,0,0,0,0,0.089285714,"Sandy Leon",5273,506702
"Chad Stevens","- - -",21,41,48,3,3,0,0,0,2,3,5,0,20,0,1,1,0,0,1,0.073170731,"Chad Stevens",29614,677060
"Rafael Ortega","CHW",14,14,17,1,1,0,0,0,4,1,2,0,4,0,1,0,1,2,0,0.071428571,"Rafael Ortega",10323,542364
"Tirso Ornelas","SDP",7,14,16,1,1,0,0,0,0,1,2,0,2,0,0,0,1,0,0,0.071428571,"Tirso Ornelas",22566,672359
"Maverick Handley","BAL",17,42,48,3,3,0,0,0,2,3,2,0,19,1,1,2,0,0,0,0.071428571,"Maverick Handley",26106,668974
"Jace Peterson","ARI",14,22,26,1,1,0,0,0,2,1,3,0,6,0,1,0,1,0,0,0.045454545,"Jace Peterson",12325,607054
"César Prieto","STL",9,23,23,1,1,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0.04347826,"Cesar Prieto",30163,693409
"Tony Kemp","BAL",5,9,10,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,"Tony Kemp",14894,643393
"Greg Allen","BAL",7,14,14,0,0,0,0,0,1,0,0,0,5,0,0,0,2,0,1,0,"Greg Allen",16623,656185
"Eddy Alvarez","NYM",13,9,11,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,"Eddy Alvarez",16959,657193
"Brian Anderson","ATL",3,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,"Brian Anderson",18289,605119
"Sandro Fabian","TEX",3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sandro Fabian",19910,660758
"Grant Koch","PIT",3,7,8,0,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,"Grant Koch",22045,667428
"Grae Kessinger","HOU",23,21,25,0,0,0,0,0,4,0,3,0,7,1,0,0,1,0,0,0,"Grae Kessinger",25813,666197
"Trei Cruz","DET",2,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"Trei Cruz",27569,669360
"Ivan Johnson","CIN",4,5,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Ivan Johnson",27593,671155
"Tyler Gentry","KCR",3,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Tyler Gentry",27784,694355
"Kyler Fedko","MIN",14,16,19,0,0,0,0,0,1,1,2,0,8,0,1,0,0,0,1,0,"Kyler Fedko",29930,693459
"Nick Morabito","NYM",5,11,12,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,0,"Nick Morabito",32119,703492
